"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Bruto plaèa Plaèa za zadnjih 12 mesecev [EUR]","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2015M12",1472.61,966.01
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2016M12",1408.79,931.65
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2017M12",1426.66,948.05
"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi","2018M12",1498.18,991.41
"J60 Radijska in televizijska dejavnost","2014M12",1869.68,1204.58
"J60 Radijska in televizijska dejavnost","2015M12",1863.88,1199.69
"J60 Radijska in televizijska dejavnost","2016M12",1833.19,1185.42
"J60 Radijska in televizijska dejavnost","2017M12",1884.81,1217.82
"J60 Radijska in televizijska dejavnost","2018M12",1901.97,1227.54
"J61 Telekomunikacijske dejavnosti","2014M12",2240.67,1399.64
"J61 Telekomunikacijske dejavnosti","2015M12",2259.42,1410.48
"J61 Telekomunikacijske dejavnosti","2016M12",2285.03,1426.62
"J61 Telekomunikacijske dejavnosti","2017M12",2316.66,1465.64
"J61 Telekomunikacijske dejavnosti","2018M12",2366.35,1494.05
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2014M12",2178.59,1341.79
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2015M12",2203.39,1356.58
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2016M12",2237.19,1378.20
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2017M12",2287.22,1425.15
"J62 Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti","2018M12",2415.62,1496.22
"J63 Druge informacijske dejavnosti","2014M12",1918.79,1239.61
"J63 Druge informacijske dejavnosti","2015M12",1896.42,1223.26
"J63 Druge informacijske dejavnosti","2016M12",1874.12,1191.43
"J63 Druge informacijske dejavnosti","2017M12",1919.89,1240.79
"J63 Druge informacijske dejavnosti","2018M12",2036.67,1311.89
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2014M12",2208.40,1365.99
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2015M12",2268.59,1397.91
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2016M12",2329.64,1433.63
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2017M12",2402.15,1494.69
"K64 Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov","2018M12",2524.94,1558.26
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2014M12",2367.55,1438.20
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2015M12",2404.98,1459.01
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2016M12",2410.13,1465.87
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2017M12",2502.81,1543.51
"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti","2018M12",2609.64,1604.85
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2014M12",1693.34,1067.65
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2015M12",1710.63,1072.95
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2016M12",1685.44,1064.54
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2017M12",1737.43,1111.82
"K66 Pomožne dejavnosti za finanène in zavarovalniške storitve","2018M12",1799.52,1145.15
"L68 Poslovanje z nepremièninami","2014M12",1489.97,972.06
"L68 Poslovanje z nepremièninami","2015M12",1479.70,964.64
"L68 Poslovanje z nepremièninami","2016M12",1489.60,970.96
"L68 Poslovanje z nepremièninami","2017M12",1516.30,993.68
"L68 Poslovanje z nepremièninami","2018M12",1529.99,1002.27
"M69 Pravne in raèunovodske dejavnosti","2014M12",1525.83,990.27
"M69 Pravne in raèunovodske dejavnosti","2015M12",1515.41,983.56
"M69 Pravne in raèunovodske dejavnosti","2016M12",1535.97,996.93
"M69 Pravne in raèunovodske dejavnosti","2017M12",1576.95,1029.76
"M69 Pravne in raèunovodske dejavnosti","2018M12",1621.18,1056.25
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2014M12",1484.82,956.94
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2015M12",1529.34,974.91
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2016M12",1543.13,984.38
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2017M12",1673.65,1065.53
"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje","2018M12",1783.21,1126.20
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2014M12",1716.44,1094.26
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2015M12",1705.10,1088.92
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2016M12",1714.53,1097.53
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2017M12",1793.15,1155.16
"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje","2018M12",1871.53,1199.22
"M72 Znanstvena raziskovalna in razvojna dejavnost","2014M12",2083.67,1310.94
"M72 Znanstvena raziskovalna in razvojna dejavnost","2015M12",2105.42,1321.23
"M72 Znanstvena raziskovalna in razvojna dejavnost","2016M12",2145.40,1346.31
"M72 Znanstvena raziskovalna in razvojna dejavnost","2017M12",2194.65,1386.52
"M72 Znanstvena raziskovalna in razvojna dejavnost","2018M12",2242.98,1413.38
"M73 Oglaševanje in raziskovanje trga","2014M12",2159.02,1298.21
"M73 Oglaševanje in raziskovanje trga","2015M12",2124.48,1278.52
"M73 Oglaševanje in raziskovanje trga","2016M12",2197.16,1315.38
"M73 Oglaševanje in raziskovanje trga","2017M12",2167.72,1325.97
"M73 Oglaševanje in raziskovanje trga","2018M12",2221.59,1355.30
"M74 Druge strokovne in tehniène dejavnosti","2014M12",1231.77,821.42
"M74 Druge strokovne in tehniène dejavnosti","2015M12",1340.45,871.67
"M74 Druge strokovne in tehniène dejavnosti","2016M12",1290.26,856.83
"M74 Druge strokovne in tehniène dejavnosti","2017M12",1352.19,899.64
"M74 Druge strokovne in tehniène dejavnosti","2018M12",1410.88,935.70
"M75 Veterinarstvo","2014M12",1934.44,1238.77
"M75 Veterinarstvo","2015M12",1881.53,1206.53
"M75 Veterinarstvo","2016M12",1892.29,1216.91
"M75 Veterinarstvo","2017M12",1960.57,1263.89
"M75 Veterinarstvo","2018M12",1997.11,1287.84
"N77 Dajanje v najem in zakup","2014M12",1222.66,819.51
"N77 Dajanje v najem in zakup","2015M12",1243.19,827.75
"N77 Dajanje v najem in zakup","2016M12",1286.09,854.73
"N77 Dajanje v najem in zakup","2017M12",1371.52,908.22
"N77 Dajanje v najem in zakup","2018M12",1435.25,942.41
"N78 Zaposlovalne dejavnosti","2014M12",1055.98,726.28
"N78 Zaposlovalne dejavnosti","2015M12",1038.47,717.34
"N78 Zaposlovalne dejavnosti","2016M12",1068.95,736.24
"N78 Zaposlovalne dejavnosti","2017M12",1091.77,751.90
"N78 Zaposlovalne dejavnosti","2018M12",1171.85,799.63
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti","2014M12",1371.08,910.91
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti","2015M12",1348.38,894.29
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti","2016M12",1365.93,905.32
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti","2017M12",1404.02,932.58
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti","2018M12",1355.93,894.07
"N80 Varovanje in poizvedovalne dejavnosti","2014M12",949.54,670.88
