"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR]"
"C27 Proizvodnja elektriènih naprav","2017M12",1008.60
"C27 Proizvodnja elektriènih naprav","2018M12",1035.43
"C28 Proizvodnja drugih strojev in naprav","2014M12",1033.05
"C28 Proizvodnja drugih strojev in naprav","2015M12",1059.12
"C28 Proizvodnja drugih strojev in naprav","2016M12",1083.28
"C28 Proizvodnja drugih strojev in naprav","2017M12",1130.50
"C28 Proizvodnja drugih strojev in naprav","2018M12",1182.95
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2014M12",968.27
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2015M12",982.84
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2016M12",1008.94
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2017M12",1031.18
"C29 Proizvodnja motornih vozil, prikolic in polprikolic","2018M12",1039.06
"C30 Proizvodnja drugih vozil in plovil","2014M12",1020.79
"C30 Proizvodnja drugih vozil in plovil","2015M12",1006.13
"C30 Proizvodnja drugih vozil in plovil","2016M12",1010.78
"C30 Proizvodnja drugih vozil in plovil","2017M12",1037.46
"C30 Proizvodnja drugih vozil in plovil","2018M12",1074.66
"C31 Proizvodnja pohištva","2014M12",798.53
"C31 Proizvodnja pohištva","2015M12",815.48
"C31 Proizvodnja pohištva","2016M12",821.15
"C31 Proizvodnja pohištva","2017M12",860.82
"C31 Proizvodnja pohištva","2018M12",904.62
"C32 Druge raznovrstne predelovalne dejavnosti","2014M12",895.14
"C32 Druge raznovrstne predelovalne dejavnosti","2015M12",909.55
"C32 Druge raznovrstne predelovalne dejavnosti","2016M12",917.23
"C32 Druge raznovrstne predelovalne dejavnosti","2017M12",925.08
"C32 Druge raznovrstne predelovalne dejavnosti","2018M12",951.00
"C33 Popravila in montaža strojev in naprav","2014M12",1056.34
"C33 Popravila in montaža strojev in naprav","2015M12",1089.38
"C33 Popravila in montaža strojev in naprav","2016M12",1109.54
"C33 Popravila in montaža strojev in naprav","2017M12",1160.56
"C33 Popravila in montaža strojev in naprav","2018M12",1183.60
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2014M12",1440.83
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2015M12",1438.10
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2016M12",1463.15
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2017M12",1541.52
"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO","2018M12",1581.90
"D35 Oskrba z elektrièno energijo, plinom in paro","2014M12",1440.83
"D35 Oskrba z elektrièno energijo, plinom in paro","2015M12",1438.10
"D35 Oskrba z elektrièno energijo, plinom in paro","2016M12",1463.15
"D35 Oskrba z elektrièno energijo, plinom in paro","2017M12",1541.52
"D35 Oskrba z elektrièno energijo, plinom in paro","2018M12",1581.90
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2014M12",975.19
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2015M12",987.21
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2016M12",1004.53
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2017M12",1043.01
"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA","2018M12",1069.95
"E36 Zbiranje, preèišèevanje in distribucija vode","2014M12",1036.29
"E36 Zbiranje, preèišèevanje in distribucija vode","2015M12",1048.88
"E36 Zbiranje, preèišèevanje in distribucija vode","2016M12",1072.49
"E36 Zbiranje, preèišèevanje in distribucija vode","2017M12",1100.04
"E36 Zbiranje, preèišèevanje in distribucija vode","2018M12",1133.83
"E37 Ravnanje z odplakami","2014M12",987.12
"E37 Ravnanje z odplakami","2015M12",1003.49
"E37 Ravnanje z odplakami","2016M12",1017.99
"E37 Ravnanje z odplakami","2017M12",1032.42
"E37 Ravnanje z odplakami","2018M12",1072.07
