"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè po dejavnostih [SKD 2008], Slovenija, meseèno"

"SKD DEJAVNOST","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2014M12","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2015M12","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2016M12","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2017M12","Neto plaèa Plaèa za zadnjih 12 mesecev [EUR] 2018M12"
"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti",910.91,894.29,905.32,932.58,894.07
"N80 Varovanje in poizvedovalne dejavnosti",670.88,665.82,688.40,714.34,752.05
"N81 Dejavnost oskrbe stavb in okolice",609.67,607.68,610.35,619.04,646.00
"N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti",839.72,854.73,872.69,896.47,923.16
"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI",1148.68,1167.49,1215.48,1261.79,1295.86
"O84 Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",1148.68,1167.49,1215.48,1261.79,1295.86
"P IZOBRAŽEVANJE",1091.08,1086.62,1108.29,1125.58,1133.51
"P85 Izobraževanje",1091.08,1086.62,1108.29,1125.58,1133.51
"Q ZDRAVSTVO IN SOCIALNO VARSTVO",1101.04,1101.76,1130.97,1169.20,1202.32
"Q86 Zdravstvo",1218.17,1219.28,1256.37,1302.11,1337.29
"Q87 Socialno varstvo z nastanitvijo",816.21,813.60,828.21,850.87,875.93
"Q88 Socialno varstvo brez nastanitve",931.18,937.28,948.33,964.85,979.97
"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",1066.38,1059.46,1078.55,1097.45,1113.63
"R90 Kulturne in razvedrilne dejavnosti",1068.75,1067.46,1108.32,1124.85,1129.19
"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti",1070.97,1070.37,1090.58,1113.09,1128.10
"R92 Prirejanje iger na sreèo",1223.18,1213.73,1245.88,1258.51,1296.16
"R93 Športne in druge dejavnosti za prosti èas",890.48,872.29,861.58,884.12,899.56
"S DRUGE DEJAVNOSTI",906.11,888.54,883.89,895.82,906.12
"S94 Dejavnost èlanskih organizacij",1069.81,1057.74,1055.60,1066.85,1070.61
"S95 Popravila raèunalnikov in izdelkov za široko rabo",863.64,840.54,833.90,859.71,860.11
"S96 Druge storitvene dejavnosti",709.09,701.35,705.01,718.80,732.90
